English	: inglisuri	 
I	: me
you	: shen 
he	: is
we	: chven
you	: tqven
they	: isini
what	: ra
who	: vin 
where	: sad 
why	: ratom 
how	: rogor 
which	: romeli 
when	: rodis
then	: mashin
if	: tu
really	: namdvilad 
but	: magram
because	: radgan	 
not	: ara
this	: es
all	: yvela
or	: an
and	: da 
think	: fiqri 
come	: mosvla
put	: dadeba
take	: ageba
find	: povna
listen	: mosmena
work	: mushaoba
talk	: saubari
give	: micema
like	: mowoneba
help	: daxmareba
love	: siyvaruli
call	: darekva
wait	: lodini
zero	: nuli
one	: erti 
two	: ori
three	: sami
four	: otxi
five	: xuti 
six	: eqvsi 
seven	: shvidi
eight	: rva
nine	: cxra
ten	: ati
new	: axali 
old	: dzveli
few	: cota
many	: bevri
wrong	: mcdari 
correct	: swori 
bad	: cudi 
good	: kargi
happy	: bednieri 
short	: mokle
long	: grdzeli 
small	: patara
big	: didi
there	: iq
here	: aq
right	: marjvena 
left	: marcxena
pretty  : lamazi 
young	: axalgazrda 
old	: beberi
hello	: gamarjoba 
ok	: kargi
hi	: salami
guitar:gitara
